StationNumber,Station name,Date/Time,"Temperature, water, deg C",county
15088000,SAWMILL C NR SITKA AK,02/10 21:30 AKST,1.9,Southeast
15129120,ALSEK R AT DRY BAY NR YAKUTAT AK,Southeast
,Primary,02/10 20:45 AKST,0.0,Southeast
15129280,ITALIO R AB MOUTH NR YAKUTAT AK,09/22 13:00 AKDT,7.1,Southeast
15129500,SITUK R NR YAKUTAT AK,02/10 21:30 AKST,0.1,Southeast
15297610,RUSSELL C NR COLD BAY AK,02/10 21:15 AKST,2.8,Southwest
15300300,ILIAMNA R NR PEDRO BAY AK,01/13 22:30 AKST,1.1,Southwest
15302000,NUYAKUK R NR DILLINGHAM AK,01/12 14:45 AKST,0.2,Southwest
15302200,KOKTULI R NR ILIAMNA AK,02/10 21:15 AKST,0.0,Southwest
15302812,KOKWOK R 22 MI AB NUSHAGAK R NR EKWOK AK,Southwest
,[(2)],04/07 11:00 AKDT,0.0,Southwest
15304000,KUSKOKWIM R AT CROOKED CREEK AK,05/15 16:45 AKDT,Eqp,Southwest
15304010,CROOKED C AB AIRPORT RD NR CROOKED CREEK AK,02/10 20:45 AKST,0.0,Southwest
15330000,NF FORTYMILE R AB MF NR FRANKLIN AK,11/05 04:45 AKST,0.0,Yukon Basin
15331000,MF FORTYMILE R NR MOUTH NR CHICKEN AK,02/07 14:30 AKST,0.0,Yukon Basin
15348000,FORTYMILE R NR STEELE CREEK AK,09/28 13:45 AKDT,2.7,Yukon Basin
15484000,SALCHA R NR SALCHAKET AK,02/10 21:00 AKST,0.0,Yukon Basin
15493000,CHENA R NR TWO RIVERS AK,02/10 21:00 AKST,0.0,Yukon Basin
15515500,TANANA R AT NENANA AK,12/11 14:00 AKST,0.0,Yukon Basin
15519030,LIVENGOOD C AT LIVENGOOD AK,02/10 11:30 AKST,0.0,Yukon Basin
15519100,TOLOVANA R BL ROSEBUD C NR LIVENGOOD AK,02/10 21:00 AKST,0.0,Yukon Basin
15564879,SLATE C AT COLDFOOT AK,02/10 21:15 AKST,0.0,Yukon Basin
15565447,YUKON R AT PILOT STATION AK,01/24 02:45 AKST,Ssn,Yukon Basin
